,YEAR,COUNTY,ZIP,NGROUP,AVG_WAGE
318,1989.0,20155.0,67566.0,19.0,24701.632403627
319,1989.0,20155.0,67566.0,20.0,24701.632403627
320,1989.0,20155.0,67568.0,1.0,39337.499053527004
321,1989.0,20155.0,67568.0,2.0,39337.499053527004
322,1989.0,20155.0,67568.0,3.0,39920.872329854
323,1989.0,20155.0,67568.0,4.0,37552.335600173
324,1989.0,20155.0,67568.0,5.0,48747.742892512004
325,1989.0,20155.0,67568.0,6.0,39920.872329854
326,1989.0,20155.0,67568.0,7.0,39920.872329854
327,1989.0,20155.0,67568.0,8.0,39920.872329854
328,1989.0,20155.0,67568.0,9.0,44862.023366447
329,1989.0,20155.0,67568.0,10.0,42468.749960738
330,1989.0,20155.0,67568.0,11.0,35822.829667882004
331,1989.0,20155.0,67568.0,12.0,42310.022956225
332,1989.0,20155.0,67568.0,13.0,42310.022956225
333,1989.0,20155.0,67568.0,14.0,42310.022956225
334,1989.0,20155.0,67568.0,15.0,41252.530056028
335,1989.0,20155.0,67568.0,16.0,41252.530056028
336,1989.0,20155.0,67568.0,17.0,13726.793805871
337,1989.0,20155.0,67568.0,18.0,13726.793805871
338,1989.0,20155.0,67568.0,19.0,24701.632403627
339,1989.0,20155.0,67568.0,20.0,24701.632403627
340,1989.0,20185.0,67576.0,1.0,30316.857861982997
341,1989.0,20185.0,67576.0,2.0,30316.857861982997
342,1989.0,20185.0,67576.0,3.0,35126.07995976
343,1989.0,20185.0,67576.0,4.0,30316.857861982997
344,1989.0,20185.0,67576.0,5.0,30316.857861982997
345,1989.0,20185.0,67576.0,6.0,35126.07995976
346,1989.0,20185.0,67576.0,7.0,35126.07995976
347,1989.0,20185.0,67576.0,8.0,35126.07995976
348,1989.0,20185.0,67576.0,9.0,30316.857861982997
349,1989.0,20185.0,67576.0,10.0,41087.618882507995
350,1989.0,20185.0,67576.0,11.0,27414.421208031006
351,1989.0,20185.0,67576.0,12.0,32215.397747132003
352,1989.0,20185.0,67576.0,13.0,32215.397747132003
353,1989.0,20185.0,67576.0,14.0,32215.397747132003
354,1989.0,20185.0,67576.0,15.0,20319.117967333
355,1989.0,20185.0,67576.0,16.0,20319.117967333
356,1989.0,20185.0,67576.0,17.0,9645.242261251
357,1989.0,20185.0,67576.0,18.0,9645.242261251
358,1989.0,20185.0,67576.0,19.0,30316.857861982997
359,1989.0,20185.0,67576.0,20.0,30316.857861982997
360,1989.0,20185.0,67578.0,1.0,30316.857861982997
361,1989.0,20185.0,67578.0,2.0,30316.857861982997
362,1989.0,20185.0,67578.0,3.0,35126.07995976
363,1989.0,20185.0,67578.0,4.0,30316.857861982997
364,1989.0,20185.0,67578.0,5.0,30316.857861982997
365,1989.0,20185.0,67578.0,6.0,35126.07995976
366,1989.0,20185.0,67578.0,7.0,35126.07995976
367,1989.0,20185.0,67578.0,8.0,35126.07995976
368,1989.0,20185.0,67578.0,9.0,30316.857861982997
369,1989.0,20185.0,67578.0,10.0,41087.618882507995
370,1989.0,20185.0,67578.0,11.0,27414.421208031006
371,1989.0,20185.0,67578.0,12.0,32215.397747132003
372,1989.0,20185.0,67578.0,13.0,32215.397747132003
373,1989.0,20185.0,67578.0,14.0,32215.397747132003
374,1989.0,20185.0,67578.0,15.0,20319.117967333
375,1989.0,20185.0,67578.0,16.0,20319.117967333
376,1989.0,20185.0,67578.0,17.0,9645.242261251
377,1989.0,20185.0,67578.0,18.0,9645.242261251
378,1989.0,20185.0,67578.0,19.0,30316.857861982997
379,1989.0,20185.0,67578.0,20.0,30316.857861982997
380,1989.0,20155.0,67581.0,1.0,39337.499053527004
381,1989.0,20155.0,67581.0,2.0,39337.499053527004
382,1989.0,20155.0,67581.0,3.0,39920.872329854
383,1989.0,20155.0,67581.0,4.0,37552.335600173
384,1989.0,20155.0,67581.0,5.0,48747.742892512004
385,1989.0,20155.0,67581.0,6.0,39920.872329854
386,1989.0,20155.0,67581.0,7.0,39920.872329854
387,1989.0,20155.0,67581.0,8.0,39920.872329854
388,1989.0,20155.0,67581.0,9.0,44862.023366447
389,1989.0,20155.0,67581.0,10.0,42468.749960738
390,1989.0,20155.0,67581.0,11.0,35822.829667882004
391,1989.0,20155.0,67581.0,12.0,42310.022956225
392,1989.0,20155.0,67581.0,13.0,42310.022956225
393,1989.0,20155.0,67581.0,14.0,42310.022956225
394,1989.0,20155.0,67581.0,15.0,41252.530056028
395,1989.0,20155.0,67581.0,16.0,41252.530056028
396,1989.0,20155.0,67581.0,17.0,13726.793805871
397,1989.0,20155.0,67581.0,18.0,13726.793805871
398,1989.0,20155.0,67581.0,19.0,24701.632403627
399,1989.0,20155.0,67581.0,20.0,24701.632403627
400,1989.0,20057.0,67801.0,1.0,35317.789198977
401,1989.0,20057.0,67801.0,2.0,35317.789198977
402,1989.0,20057.0,67801.0,3.0,36294.887902083
403,1989.0,20057.0,67801.0,4.0,35707.391846417995
404,1989.0,20057.0,67801.0,5.0,37690.448707996
405,1989.0,20057.0,67801.0,6.0,36294.887902083
406,1989.0,20057.0,67801.0,7.0,36294.887902083
407,1989.0,20057.0,67801.0,8.0,36294.887902083
408,1989.0,20057.0,67801.0,9.0,52227.368653784004
409,1989.0,20057.0,67801.0,10.0,44460.05238099201
410,1989.0,20057.0,67801.0,11.0,33959.333407106
411,1989.0,20057.0,67801.0,12.0,41714.281341884
412,1989.0,20057.0,67801.0,13.0,41714.281341884
413,1989.0,20057.0,67801.0,14.0,41714.281341884
414,1989.0,20057.0,67801.0,15.0,38822.151636277005
415,1989.0,20057.0,67801.0,16.0,38822.151636277005
416,1989.0,20057.0,67801.0,17.0,12776.493168461999
417,1989.0,20057.0,67801.0,18.0,12776.493168461999
418,1989.0,20057.0,67801.0,19.0,25981.755388076002
419,1989.0,20057.0,67801.0,20.0,25981.755388076002
420,1989.0,20069.0,67835.0,1.0,38327.418115717
421,1989.0,20069.0,67835.0,2.0,38327.418115717
422,1989.0,20069.0,67835.0,3.0,44468.297939667995
423,1989.0,20069.0,67835.0,4.0,29275.856079137997
424,1989.0,20069.0,67835.0,5.0,29830.369900099
425,1989.0,20069.0,67835.0,6.0,44468.297939667995
426,1989.0,20069.0,67835.0,7.0,44468.297939667995
427,1989.0,20069.0,67835.0,8.0,44468.297939667995
428,1989.0,20069.0,67835.0,9.0,38327.418115717
429,1989.0,20069.0,67835.0,10.0,49943.348900532
430,1989.0,20069.0,67835.0,11.0,40834.067953221
431,1989.0,20069.0,67835.0,12.0,46869.816904053
432,1989.0,20069.0,67835.0,13.0,46869.816904053
433,1989.0,20069.0,67835.0,14.0,46869.816904053
434,1989.0,20069.0,67835.0,15.0,20457.231075156
435,1989.0,20069.0,67835.0,16.0,20457.231075156
436,1989.0,20069.0,67835.0,17.0,38327.418115717
437,1989.0,20069.0,67835.0,18.0,38327.418115717
438,1989.0,20069.0,67835.0,19.0,31751.585071607
439,1989.0,20069.0,67835.0,20.0,31751.585071607
440,1989.0,20075.0,67836.0,1.0,30193.174481842998
441,1989.0,20075.0,67836.0,2.0,30193.174481842998
442,1989.0,20075.0,67836.0,3.0,28504.896342932003
443,1989.0,20075.0,67836.0,4.0,30193.174481842998
444,1989.0,20075.0,67836.0,5.0,30193.174481842998
445,1989.0,20075.0,67836.0,6.0,28504.896342932003
446,1989.0,20075.0,67836.0,7.0,28504.896342932003
447,1989.0,20075.0,67836.0,8.0,28504.896342932003
448,1989.0,20075.0,67836.0,9.0,30193.174481842998
449,1989.0,20075.0,67836.0,10.0,30193.174481842998
450,1989.0,20075.0,67836.0,11.0,25132.462844447997
451,1989.0,20075.0,67836.0,12.0,30193.174481842998
452,1989.0,20075.0,67836.0,13.0,30193.174481842998
453,1989.0,20075.0,67836.0,14.0,30193.174481842998
454,1989.0,20075.0,67836.0,15.0,30193.174481842998
455,1989.0,20075.0,67836.0,16.0,30193.174481842998
456,1989.0,20075.0,67836.0,17.0,30193.174481842998
457,1989.0,20075.0,67836.0,18.0,30193.174481842998
458,1989.0,20075.0,67836.0,19.0,14357.579044585
459,1989.0,20075.0,67836.0,20.0,14357.579044585
460,1989.0,20093.0,67838.0,1.0,36465.98324461
461,1989.0,20093.0,67838.0,2.0,36465.98324461
462,1989.0,20093.0,67838.0,3.0,43806.591855918996
463,1989.0,20093.0,67838.0,4.0,36465.98324461
