,YEAR,COUNTY,NGROUP,AVG_WAGE
365,1989.0,20049.0,6.0,21525.030923698
366,1989.0,20049.0,7.0,21525.030923698
367,1989.0,20049.0,8.0,21525.030923698
368,1989.0,20049.0,9.0,25517.942712551
369,1989.0,20049.0,10.0,25517.942712551
370,1989.0,20049.0,11.0,22164.061721087997
371,1989.0,20049.0,12.0,25517.942712551
372,1989.0,20049.0,13.0,25517.942712551
373,1989.0,20049.0,14.0,25517.942712551
374,1989.0,20049.0,15.0,25517.942712551
375,1989.0,20049.0,16.0,25517.942712551
376,1989.0,20049.0,17.0,8173.410037585
377,1989.0,20049.0,18.0,8173.410037585
378,1989.0,20049.0,19.0,25517.942712551
379,1989.0,20049.0,20.0,25517.942712551
380,1989.0,20047.0,1.0,30446.72541113
381,1989.0,20047.0,2.0,30446.72541113
382,1989.0,20047.0,3.0,34252.050740104
383,1989.0,20047.0,4.0,37051.417910606004
384,1989.0,20047.0,5.0,33792.360843917
385,1989.0,20047.0,6.0,34252.050740104
386,1989.0,20047.0,7.0,34252.050740104
387,1989.0,20047.0,8.0,34252.050740104
388,1989.0,20047.0,9.0,30446.72541113
389,1989.0,20047.0,10.0,37408.038323343
390,1989.0,20047.0,11.0,28649.193619762
391,1989.0,20047.0,12.0,24128.566075645
392,1989.0,20047.0,13.0,24128.566075645
393,1989.0,20047.0,14.0,24128.566075645
394,1989.0,20047.0,15.0,23654.446451775
395,1989.0,20047.0,16.0,23654.446451775
396,1989.0,20047.0,17.0,9874.05651451
397,1989.0,20047.0,18.0,9874.05651451
398,1989.0,20047.0,19.0,30446.72541113
399,1989.0,20047.0,20.0,30446.72541113
400,1989.0,20037.0,1.0,34138.674308309
401,1989.0,20037.0,2.0,34138.674308309
402,1989.0,20037.0,3.0,30335.410369004
403,1989.0,20037.0,4.0,33509.950459264
404,1989.0,20037.0,5.0,38978.817251121
405,1989.0,20037.0,6.0,30335.410369004
406,1989.0,20037.0,7.0,30335.410369004
407,1989.0,20037.0,8.0,30335.410369004
408,1989.0,20037.0,9.0,36480.412972293
409,1989.0,20037.0,10.0,36420.632671892
410,1989.0,20037.0,11.0,27787.53273812
411,1989.0,20037.0,12.0,37657.466473292
412,1989.0,20037.0,13.0,37657.466473292
413,1989.0,20037.0,14.0,37657.466473292
414,1989.0,20037.0,15.0,29016.120980844
415,1989.0,20037.0,16.0,29016.120980844
416,1989.0,20037.0,17.0,14116.396453312
417,1989.0,20037.0,18.0,14116.396453312
418,1989.0,20037.0,19.0,23656.507841444
419,1989.0,20037.0,20.0,23656.507841444
420,1989.0,20021.0,1.0,34674.635622249
421,1989.0,20021.0,2.0,34674.635622249
422,1989.0,20021.0,3.0,42268.795162845
423,1989.0,20021.0,4.0,39419.954640287004
424,1989.0,20021.0,5.0,37919.262961255
425,1989.0,20021.0,6.0,42268.795162845
426,1989.0,20021.0,7.0,42268.795162845
427,1989.0,20021.0,8.0,42268.795162845
428,1989.0,20021.0,9.0,39341.621832865
429,1989.0,20021.0,10.0,37634.791186933
